identifiant_unique,nom,latitude,longitude,adresse,code_postal,ville
osm_node_1792383158,Point de collecte verre OSM,48.9243476,2.3719882,,,
osm_node_1792383253,Point de collecte verre OSM,48.9251469,2.3716579,,,
osm_node_1792385829,Point de collecte verre OSM,48.9270859,2.3670068,,,
osm_node_3578829377,Point de collecte verre OSM,48.9305065,2.3531616,,,
osm_node_3578829378,Point de collecte verre OSM,48.9306945,2.3530995,,,
osm_node_3681903325,Point de collecte verre OSM,48.9052394,2.3935935,,,
osm_node_4248212501,Pour le verre,48.9175446,2.3321046,,,
osm_node_4248212567,Point de collecte verre OSM,48.9184365,2.3316732,,,
osm_node_4263211295,Point de collecte verre OSM,48.952896,2.298934,,,
osm_node_4437686255,Point de collecte verre OSM,48.9181307,2.3935573,,,
osm_node_5759651117,Point de collecte verre OSM,48.9143165,2.3537993,,,
osm_node_5759651118,Point de collecte verre OSM,48.9145563,2.3547817,,,
osm_node_6191647957,Conteneur à verre intégré dans l'abri d'attente de bus.,48.9262424,2.3572658,,,
osm_node_6236221879,Point de collecte verre OSM,48.9453981,2.3514558,,,
osm_node_7792484696,Point de collecte verre OSM,48.9158664,2.3708075,,,
osm_node_7832351863,Point de collecte verre OSM,48.9136445,2.3739899,,,
osm_node_7839658197,Point de collecte verre OSM,48.9137145,2.3653259,,,
osm_node_7857874098,Point de collecte verre OSM,48.9188427,2.3872356,,,
osm_node_7858485054,Point de collecte verre OSM,48.9173891,2.3875831,,,
osm_node_7858594244,Point de collecte verre OSM,48.9165424,2.3929187,,,
osm_node_7858651259,Point de collecte verre OSM,48.9131307,2.3914348,,,
osm_node_7858651260,Point de collecte verre OSM,48.9130839,2.3912158,,,
osm_node_7858830408,Point de collecte verre OSM,48.9036263,2.3720826,,,
osm_node_7884691308,Point de collecte verre OSM,48.9200346,2.3925084,,,
osm_node_8072243644,Point de collecte verre OSM,48.9213953,2.4015189,,,
osm_node_8387425644,Point de collecte verre OSM,48.9157915,2.3806942,,,
osm_node_8786839362,Point de collecte verre OSM,48.9147014,2.3549054,,,
osm_node_8972791607,Point de collecte verre OSM,48.9147425,2.3527408,,,
osm_node_10128386214,Point de collecte verre OSM,48.9601511,2.344989,,,
osm_node_13061652560,Point de collecte verre OSM,48.9236361,2.413861,,,
